127.0.0.1 - - [26/Jun/2024:02:33:53 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:33:55 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.jsp HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:33:55 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:33:58 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.mvc?id=nakja&pass=1234 HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:33:59 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.mvc?id=musthave&pass=1234 HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:34:00 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.mvc?id=stranger&pass=1234 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:34:11 +0900] "POST /MustHaveJSP/12Servlet/MemberAuth.mvc?id=&pass= HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:42:22 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:42:33 +0900] "POST /MustHaveJSP/12Servlet/MemberAuth.mvc HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:42:40 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.mvc?id=musthave&pass=1234 HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:42:41 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.mvc?id=nakja&pass=1234 HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:42:42 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.mvc?id=stranger&pass=1234 HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:42:59 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.jsp HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:43:08 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.mvc?memver_id=musthave&memver_pw=1234 HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:43:42 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:43:51 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.mvc?id=musthave&pass=1234 HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:44:45 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.jsp HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:44:51 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.mvc?id=musthave&pass=1234 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:45:00 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.mvc?id=nakja&pass=1234 HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:45:17 +0900] "GET /MustHaveJSP/12Servlet/MemberAuth.jsp HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [26/Jun/2024:02:45:22 +0900] "POST /MustHaveJSP/12Servlet/MemberAuth.mvc HTTP/1.1" 200 731
